Well;Plate;ID_unique;Light_panel;Group;Genus;Species;Strain;Species_Strain;Medium;Replicate;Salinity;Temperature;Light_period;Light_intensity;Experiment
A1;1;A1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;7;14;200;2
B1;1;B1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;7;14;200;2
C1;1;C1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;7;14;200;2
D1;1;D1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;7;14;200;2
E1;1;E1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;7;14;100;2
F1;1;F1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;7;14;100;2
G1;1;G1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;7;14;100;2
H1;1;H1_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;7;14;100;2
A2;1;A2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;7;14;200;2
B2;1;B2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;7;14;200;2
C2;1;C2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;7;14;200;2
D2;1;D2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;7;14;200;2
E2;1;E2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;7;14;100;2
F2;1;F2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;7;14;100;2
G2;1;G2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;7;14;100;2
H2;1;H2_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;7;14;100;2
A3;1;A3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;7;14;200;2
B3;1;B3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;7;14;200;2
C3;1;C3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;7;14;200;2
D3;1;D3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;7;14;200;2
E3;1;E3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;7;14;100;2
F3;1;F3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;7;14;100;2
G3;1;G3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;7;14;100;2
H3;1;H3_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;7;14;100;2
A4;1;A4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;34;7;14;200;2
B4;1;B4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;34;7;14;200;2
C4;1;C4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;34;7;14;200;2
D4;1;D4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;34;7;14;200;2
E4;1;E4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;34;7;14;100;2
F4;1;F4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;34;7;14;100;2
G4;1;G4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;34;7;14;100;2
H4;1;H4_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;34;7;14;100;2
A5;1;A5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;20;7;14;200;2
B5;1;B5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;20;7;14;200;2
C5;1;C5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;20;7;14;200;2
D5;1;D5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;20;7;14;200;2
E5;1;E5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;20;7;14;100;2
F5;1;F5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;20;7;14;100;2
G5;1;G5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;20;7;14;100;2
H5;1;H5_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;20;7;14;100;2
A6;1;A6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;25;7;14;200;2
B6;1;B6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;25;7;14;200;2
C6;1;C6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;25;7;14;200;2
D6;1;D6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;25;7;14;200;2
E6;1;E6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;25;7;14;100;2
F6;1;F6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;25;7;14;100;2
G6;1;G6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;25;7;14;100;2
H6;1;H6_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;25;7;14;100;2
A7;1;A7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;30;7;14;200;2
B7;1;B7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;30;7;14;200;2
C7;1;C7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;30;7;14;200;2
D7;1;D7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;30;7;14;200;2
E7;1;E7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;30;7;14;100;2
F7;1;F7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;30;7;14;100;2
G7;1;G7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;30;7;14;100;2
H7;1;H7_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;30;7;14;100;2
A8;1;A8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;34;7;14;200;2
B8;1;B8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;7;14;200;2
C8;1;C8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;7;14;200;2
D8;1;D8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;7;14;200;2
E8;1;E8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;34;7;14;100;2
F8;1;F8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;7;14;100;2
G8;1;G8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;7;14;100;2
H8;1;H8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;7;14;100;2
