depth;salinity;temperature;asv_code;n_reads_pct;longitude;latitude
0,00;17,630000;20,300000;e7f2ac05b1;0,207;30,77590;46,4416
0,00;37,830000;20,660000;e7f2ac05b1;0,058;2,80000;41,6666
1,00;39,290000;24,460000;e7f2ac05b1;0,030;24,99000;35,6610
0,00;39,100000;29,000000;e7f2ac05b1;0,099;33,00000;35,0000
1,00;26,115000;18,000000;be0422de41;0,134;10,62820;59,6220
1,00;30,054000;18,700000;be0422de41;0,097;10,59860;59,8162
0,00;37,833000;20,422000;e7f2ac05b1;0,046;3,15000;42,4900
20,00;39,110000;23,130000;e7f2ac05b1;0,173;25,29000;35,3500
1,00;39,050000;24,210000;e7f2ac05b1;0,052;25,29000;35,3500
0,00;NA;NA;e7f2ac05b1;0,017;34,84300;32,0694
0,00;NA;NA;e7f2ac05b1;0,070;30,77590;46,4416
0,00;39,400000;27,000000;e7f2ac05b1;0,014;32,95400;32,8220
0,00;39,350000;27,300000;e7f2ac05b1;0,013;34,84300;32,0694
0,00;37,833000;20,422000;be0422de41;0,019;3,15000;42,4900
0,00;37,833000;20,422000;e7f2ac05b1;0,003;3,15000;42,4900
0,00;34,780000;16,000000;e7f2ac05b1;0,002;-4,55200;48,3590
0,00;38,087100;21,995200;be0422de41;0,021;5,74583;43,2264
0,00;38,087100;21,995200;e7f2ac05b1;0,006;5,74583;43,2264
0,00;34,000000;22,000000;be0422de41;0,009;13,33190;45,3256
0,00;34,000000;22,000000;e7f2ac05b1;0,083;13,33190;45,3256
0,00;27,780000;23,610000;e7f2ac05b1;0,008;12,93500;43,9475
0,00;NA;NA;be0422de41;0,029;-118,38000;33,5800
0,00;NA;NA;e7f2ac05b1;0,010;-118,38000;33,5800
0,00;33,931000;20,821000;be0422de41;0,007;13,71000;45,7009
0,00;33,931000;20,821000;e7f2ac05b1;0,001;13,71000;45,7009
55,00;31,117000;-0,946000;0ee56c866e;2,200;-136,42000;71,1300
45,00;30,618000;-1,212000;0ee56c866e;0,270;-136,03000;70,4000
56,00;31,145000;-1,038000;0ee56c866e;0,135;-136,03000;70,4000
50,00;29,990000;-0,920000;0ee56c866e;0,113;-139,62700;70,6800
20,00;31,380000;-1,370000;efda848856;5,367;126,97000;82,1657
20,00;32,100000;-0,270000;efda848856;10,397;118,19600;77,3968
19,00;29,970000;-1,540000;efda848856;10,801;123,35900;85,1590
NA;NA;NA;e7f2ac05b1;0,008;-3,93750;48,7778
NA;NA;NA;e7f2ac05b1;0,007;-3,93750;48,7778
NA;NA;NA;e7f2ac05b1;0,004;-3,93750;48,7778
0,00;37,700000;21,300000;e7f2ac05b1;0,005;2,80000;41,6667
0,00;37,500000;19,200000;e7f2ac05b1;0,005;2,80000;41,6667
0,00;38,200000;12,700000;be0422de41;0,009;2,80000;41,6667
1,00;30,600000;-1,500000;efda848856;0,284;131,12900;81,9255
1,00;32,800000;-1,600000;efda848856;0,395;109,59000;82,6707
1,00;31,200000;-1,500000;efda848856;0,679;130,13000;82,8825
1,00;32,900000;-1,700000;efda848856;0,064;58,86350;88,8277
2,00;28,890000;NA;efda848856;0,057;-75,70260;77,3228
0,00;NA;NA;efda848856;0,162;-76,09660;77,3167
22,00;NA;NA;efda848856;0,051;-76,09660;77,3167
22,00;NA;NA;efda848856;0,024;-76,09660;77,3167
0,00;NA;NA;efda848856;0,110;-74,53270;78,3007
27,00;NA;NA;efda848856;0,020;-74,53270;78,3007
25,00;NA;NA;efda848856;0,065;-70,07120;71,3798
25,00;NA;NA;efda848856;0,049;-70,07120;71,3798
6,00;NA;NA;efda848856;0,074;-70,07120;71,3798
6,00;NA;NA;efda848856;0,100;-70,07120;71,3798
40,00;NA;NA;efda848856;0,708;-127,58100;71,3122
40,00;NA;NA;efda848856;0,490;-127,58100;71,3122
5,00;NA;NA;efda848856;0,192;-127,58100;71,3122
5,00;NA;NA;efda848856;0,233;-127,58100;71,3122
0,50;37,680000;26,891000;e7f2ac05b1;0,008;14,25000;40,8083
32,00;34,270000;-0,040000;efda848856;1,957;30,28330;81,8167
30,00;34,250000;0,110000;efda848856;0,010;30,63330;81,0000
0,00;32,830000;-1,800000;efda848856;0,431;17,75000;84,6333
0,00;33,070000;-1,800000;efda848856;0,069;58,13330;89,3833
0,00;30,540000;-1,620000;efda848856;0,135;131,21700;82,5500
0,00;32,610000;-1,590000;efda848856;0,387;109,10000;83,2667
0,00;32,900000;-1,700000;efda848856;0,015;77,10000;84,6000
20,00;32,100000;-0,270000;efda848856;2,352;118,31700;77,6500
20,00;33,740000;-1,680000;efda848856;0,490;109,98300;83,1167
5,00;NA;NA;efda848856;0,036;4,26000;79,7550
5,00;NA;NA;efda848856;0,015;-2,83300;78,4530
5,00;NA;NA;efda848856;0,010;-5,49800;78,8330
5,00;NA;NA;efda848856;0,018;-8,56400;78,8270
15,00;NA;NA;efda848856;0,016;-8,56400;78,8270
30,00;NA;NA;efda848856;0,017;-8,56400;78,8270
5,00;36,376225;19,776808;e7f2ac05b1;0,008;-3,17590;-20,4091
5,00;36,376225;19,776808;e7f2ac05b1;0,008;-3,17590;-20,4091
5,00;35,686850;16,832058;e7f2ac05b1;0,016;4,66500;-31,0266
5,00;35,686850;16,832058;e7f2ac05b1;0,012;4,66500;-31,0266
5,00;36,423240;25,026190;e7f2ac05b1;0,020;-17,90990;-8,7789
5,00;37,101367;23,349542;e7f2ac05b1;0,013;-35,18030;-20,9354
5,00;37,101367;23,349542;e7f2ac05b1;0,016;-35,18030;-20,9354
5,00;35,606100;19,307392;e7f2ac05b1;0,013;-52,18200;-40,6511
5,00;36,157733;24,746250;e7f2ac05b1;0,009;-107,38300;-28,1698
5,00;36,157733;24,746250;e7f2ac05b1;0,008;-107,38300;-28,1698
5,00;36,129117;23,788833;e7f2ac05b1;0,010;-104,78700;-21,1460
5,00;35,835267;25,251200;e7f2ac05b1;0,002;-95,97590;-13,0023
5,00;34,529983;25,504283;e7f2ac05b1;0,001;-84,58620;-0,0283
5,00;35,971440;22,768730;e7f2ac05b1;0,005;-100,63300;-16,9601
5,00;36,514942;23,791908;e7f2ac05b1;0,005;-134,93300;-23,1108
5,00;36,493267;24,060917;e7f2ac05b1;0,010;-134,92400;-23,1595
5,00;36,503100;24,118008;e7f2ac05b1;0,005;-134,96100;-23,2317
5,00;36,524200;23,704717;e7f2ac05b1;0,009;-134,92300;-23,0244
5,00;36,509383;23,635467;e7f2ac05b1;0,012;-134,92300;-23,0242
5,00;36,462367;24,227692;e7f2ac05b1;0,004;-135,01800;-23,0730
5,00;35,359483;26,576175;e7f2ac05b1;0,002;-140,28300;-8,9068
5,00;36,567450;20,121650;e7f2ac05b1;0,005;-66,54350;33,0610
5,00;36,599600;20,397300;e7f2ac05b1;0,008;-64,24890;31,6948
5,00;36,599600;20,397300;e7f2ac05b1;0,004;-64,24890;31,6948
